id;database;id_comm;id_study;id_study_ori;citation;study;site;plot;id_comm_source;exact_lat;exact_long;age;age_ori;study_year;temp_persp_class2;stage;study_common_taxon;organism_threshold;metric;metric_source;aggregated_data;sampling_method;sampling_effort_within;sampling_effort_among;n_comm;n_comm_available;effort_ori;historic_impact;predisturbances;disturbance1_age;disturbance2;n_disturbances;current_impact;notes;priority;country;study_common_taxon_clean;study_common_taxon_strgroup;disturbance1_age_clean;disturbance2_clean;predisturbances_clean;current_impact_clean;postdisturbance;restoration;protection;use;recovering_cond;coord_accuracy;taxon_level;richness_study;richness;abund;shannon;PD;SR;error_class;lat;lon
PR_Katovai et al. 2012_Understory plants, Solomon Islands_primary.high2_NA;PR;Katovai et al. 2012_Understory plants, Solomon Islands_primary.high2_NA;PR_Katovai et al. 2012_Understory plants, Solomon Islands;PR_Katovai et al. 2012_Understory plants, Solomon Islands;Katovai et al. 2012;Understory plants, Solomon Islands;primary.high2;NA;primary.high2;-803.345;157.117.216.667;100;> 100;2009;minimum;reference;understory plants;presence, except mooses, < 2 m height;abundance;no. stems;yes;fixed plots/quadrats;1;NA;20;40;20;sucessive fragmentation, selective logging since 1903;NA;none;protected native lands;0;NA;NA;NA;Solomon Is.;understory;users;none;protection;NA;NA;none;0;1;none;protection;community;species;340;37;355;45.410.430.501.340.900;1.622.937.921.384;12;0.14583333333333334;-8.01;157.07
PR_Katovai et al. 2012_Understory plants, Solomon Islands_primary.high3_NA;PR;Katovai et al. 2012_Understory plants, Solomon Islands_primary.high3_NA;PR_Katovai et al. 2012_Understory plants, Solomon Islands;PR_Katovai et al. 2012_Understory plants, Solomon Islands;Katovai et al. 2012;Understory plants, Solomon Islands;primary.high3;NA;primary.high3;-802.835;157.130.666.667;100;> 100;2009;minimum;reference;understory plants;presence, except mooses, < 2 m height;abundance;no. stems;yes;fixed plots/quadrats;1;NA;20;40;20;sucessive fragmentation, selective logging since 1903;NA;none;protected native lands;0;NA;NA;NA;Solomon Is.;understory;users;none;protection;NA;NA;none;0;1;none;protection;community;species;340;32;360;4.338.146.737.395.420;1.100.401.239;8;0.14583333333333334;-8.01;157.07
PR_Katovai et al. 2012_Understory plants, Solomon Islands_primary.high4_NA;PR;Katovai et al. 2012_Understory plants, Solomon Islands_primary.high4_NA;PR_Katovai et al. 2012_Understory plants, Solomon Islands;PR_Katovai et al. 2012_Understory plants, Solomon Islands;Katovai et al. 2012;Understory plants, Solomon Islands;primary.high4;NA;primary.high4;-79.227;156.990.666.667;100;> 100;2009;minimum;reference;understory plants;presence, except mooses, < 2 m height;abundance;no. stems;yes;fixed plots/quadrats;1;NA;20;40;20;sucessive fragmentation, selective logging since 1903;NA;none;protected native lands;0;NA;NA;NA;Solomon Is.;understory;users;none;protection;NA;NA;none;0;1;none;protection;community;species;340;39;402;4.473.207.590.935.230;13.939.979.696.199.900;8;0.14583333333333334;-8.01;157.07
PR_Katovai et al. 2012_Understory plants, Solomon Islands_primary.low1_NA;PR;Katovai et al. 2012_Understory plants, Solomon Islands_primary.low1_NA;PR_Katovai et al. 2012_Understory plants, Solomon Islands;PR_Katovai et al. 2012_Understory plants, Solomon Islands;Katovai et al. 2012;Understory plants, Solomon Islands;primary.low1;NA;primary.low1;-81.041;15.713.605;100;> 100;2009;minimum;reference;understory plants;presence, except mooses, < 2 m height;abundance;no. stems;yes;fixed plots/quadrats;1;NA;20;40;20;sucessive fragmentation, selective logging since 1903;NA;none;protected native lands;0;NA;NA;NA;Solomon Is.;understory;users;none;protection;NA;NA;none;0;1;none;protection;community;species;340;70;881;497.628.890.959.932;21.876.932.681.497;19;0.14583333333333334;-8.01;157.07
PR_Katovai et al. 2012_Understory plants, Solomon Islands_primary.low2_NA;PR;Katovai et al. 2012_Understory plants, Solomon Islands_primary.low2_NA;PR_Katovai et al. 2012_Understory plants, Solomon Islands;PR_Katovai et al. 2012_Understory plants, Solomon Islands;Katovai et al. 2012;Understory plants, Solomon Islands;primary.low2;NA;primary.low2;-7.886;157.127.166.667;100;> 100;2009;minimum;reference;understory plants;presence, except mooses, < 2 m height;abundance;no. stems;yes;fixed plots/quadrats;1;NA;20;40;20;sucessive fragmentation, selective logging since 1903;NA;none;protected native lands;0;NA;NA;NA;Solomon Is.;understory;users;none;protection;NA;NA;none;0;1;none;protection;community;species;340;66;470;52.216.347.526.840.800;21.979.820.621.497;23;0.14583333333333334;-8.01;157.07
PR_Katovai et al. 2012_Understory plants, Solomon Islands_primary.low3_NA;PR;Katovai et al. 2012_Understory plants, Solomon Islands_primary.low3_NA;PR_Katovai et al. 2012_Understory plants, Solomon Islands;PR_Katovai et al. 2012_Understory plants, Solomon Islands;Katovai et al. 2012;Understory plants, Solomon Islands;primary.low3;NA;primary.low3;-785.711.666.667;157.072.216.667;100;> 100;2009;minimum;reference;understory plants;presence, except mooses, < 2 m height;abundance;no. stems;yes;fixed plots/quadrats;1;NA;20;40;20;sucessive fragmentation, selective logging since 1903;NA;none;protected native lands;0;NA;NA;NA;Solomon Is.;understory;users;none;protection;NA;NA;none;0;1;none;protection;community;species;340;71;564;4.255.997.717.760.590;2.183.514.331.275;19;0.14583333333333334;-8.01;157.07
PR_Katovai et al. 2012_Understory plants, Solomon Islands_primary.low4_NA;PR;Katovai et al. 2012_Understory plants, Solomon Islands_primary.low4_NA;PR_Katovai et al. 2012_Understory plants, Solomon Islands;PR_Katovai et al. 2012_Understory plants, Solomon Islands;Katovai et al. 2012;Understory plants, Solomon Islands;primary.low4;NA;primary.low4;-80.211;156.960.916.667;100;> 100;2009;minimum;reference;understory plants;presence, except mooses, < 2 m height;abundance;no. stems;yes;fixed plots/quadrats;1;NA;20;40;20;sucessive fragmentation, selective logging since 1903;NA;none;protected native lands;0;NA;NA;NA;Solomon Is.;understory;users;none;protection;NA;NA;none;0;1;none;protection;community;species;340;64;345;5.306.356.759.107.450;1.650.869.651.275;13;0.14583333333333334;-8.01;157.07
PR_Katovai et al. 2012_Understory plants, Solomon Islands_primary.med1_NA;PR;Katovai et al. 2012_Understory plants, Solomon Islands_primary.med1_NA;PR_Katovai et al. 2012_Understory plants, Solomon Islands;PR_Katovai et al. 2012_Understory plants, Solomon Islands;Katovai et al. 2012;Understory plants, Solomon Islands;primary.med1;NA;primary.med1;-789.326.666.667;15.712.125;100;> 100;2009;minimum;reference;understory plants;presence, except mooses, < 2 m height;abundance;no. stems;yes;fixed plots/quadrats;1;NA;20;40;20;sucessive fragmentation, selective logging since 1903;NA;none;protected native lands;0;NA;NA;NA;Solomon Is.;understory;users;none;protection;NA;NA;none;0;1;none;protection;community;species;340;55;328;5.312.934.343.856.660;18.032.623.431.497;16;0.14583333333333334;-8.01;157.07
PR_Katovai et al. 2012_Understory plants, Solomon Islands_primary.med2_NA;PR;Katovai et al. 2012_Understory plants, Solomon Islands_primary.med2_NA;PR_Katovai et al. 2012_Understory plants, Solomon Islands;PR_Katovai et al. 2012_Understory plants, Solomon Islands;Katovai et al. 2012;Understory plants, Solomon Islands;primary.med2;NA;primary.med2;-806.818.333.333;157.142.016.667;100;> 100;2009;minimum;reference;understory plants;presence, except mooses, < 2 m height;abundance;no. stems;yes;fixed plots/quadrats;1;NA;20;40;20;sucessive fragmentation, selective logging since 1903;NA;none;protected native lands;0;NA;NA;NA;Solomon Is.;understory;users;none;protection;NA;NA;none;0;1;none;protection;community;species;340;52;355;4.946.860.778.807.420;138.133.291.862;12;0.14583333333333334;-8.01;157.07
PR_Katovai et al. 2012_Understory plants, Solomon Islands_primary.med3_NA;PR;Katovai et al. 2012_Understory plants, Solomon Islands_primary.med3_NA;PR_Katovai et al. 2012_Understory plants, Solomon Islands;PR_Katovai et al. 2012_Understory plants, Solomon Islands;Katovai et al. 2012;Understory plants, Solomon Islands;primary.med3;NA;primary.med3;-796.596.666.667;156.958.666.667;100;> 100;2009;minimum;reference;understory plants;presence, except mooses, < 2 m height;abundance;no. stems;yes;fixed plots/quadrats;1;NA;20;40;20;sucessive fragmentation, selective logging since 1903;NA;none;protected native lands;0;NA;NA;NA;Solomon Is.;understory;users;none;protection;NA;NA;none;0;1;none;protection;community;species;340;46;424;4.993.846.318.886.350;154.186.205.832;16;0.14583333333333334;-8.01;157.07
PR_Katovai et al. 2012_Understory plants, Solomon Islands_primary.med4_NA;PR;Katovai et al. 2012_Understory plants, Solomon Islands_primary.med4_NA;PR_Katovai et al. 2012_Understory plants, Solomon Islands;PR_Katovai et al. 2012_Understory plants, Solomon Islands;Katovai et al. 2012;Understory plants, Solomon Islands;primary.med4;NA;primary.med4;-787.703.333.333;15.706.795;100;> 100;2009;minimum;reference;understory plants;presence, except mooses, < 2 m height;abundance;no. stems;yes;fixed plots/quadrats;1;NA;20;40;20;sucessive fragmentation, selective logging since 1903;NA;none;protected native lands;0;NA;NA;NA;Solomon Is.;understory;users;none;protection;NA;NA;none;0;1;none;protection;community;species;340;48;438;4.973.671.970.073.810;130.641.191.662;12;0.14583333333333334;-8.01;157.07
PR_Katovai et al. 2012_Understory plants, Solomon Islands_secondary.high1_NA;PR;Katovai et al. 2012_Understory plants, Solomon Islands_secondary.high1_NA;PR_Katovai et al. 2012_Understory plants, Solomon Islands;PR_Katovai et al. 2012_Understory plants, Solomon Islands;Katovai et al. 2012;Understory plants, Solomon Islands;secondary.high1;NA;secondary.high1;-803.801.666.667;157.122.316.667;18;18;2009;exact;recovering;understory plants;presence, except mooses, < 2 m height;abundance;no. stems;yes;fixed plots/quadrats;1;NA;20;40;20;sucessive fragmentation, selective logging since 1903;NA;clear-cutting;NA;1;NA;NA;NA;Solomon Is.;understory;users;logging;NA;NA;NA;none;0;0;none;regular;community;species;340;30;118;4.434.392.905.888.140;140.017.301.362;9;0.14583333333333334;-8.01;157.07
PR_Katovai et al. 2012_Understory plants, Solomon Islands_secondary.high2_NA;PR;Katovai et al. 2012_Understory plants, Solomon Islands_secondary.high2_NA;PR_Katovai et al. 2012_Understory plants, Solomon Islands;PR_Katovai et al. 2012_Understory plants, Solomon Islands;Katovai et al. 2012;Understory plants, Solomon Islands;secondary.high2;NA;secondary.high2;-796.021.666.667;156.996.033.333;18;18;2009;exact;recovering;understory plants;presence, except mooses, < 2 m height;abundance;no. stems;yes;fixed plots/quadrats;1;NA;20;40;20;sucessive fragmentation, selective logging since 1903;NA;clear-cutting;NA;1;NA;NA;NA;Solomon Is.;understory;users;logging;NA;NA;NA;none;0;0;none;regular;community;species;340;33;160;455.496.256.502.632;128.331.210.862;9;0.14583333333333334;-8.01;157.07
PR_Katovai et al. 2012_Understory plants, Solomon Islands_secondary.high3_NA;PR;Katovai et al. 2012_Understory plants, Solomon Islands_secondary.high3_NA;PR_Katovai et al. 2012_Understory plants, Solomon Islands;PR_Katovai et al. 2012_Understory plants, Solomon Islands;Katovai et al. 2012;Understory plants, Solomon Islands;secondary.high3;NA;secondary.high3;-79.628;1.569.939;18;18;2009;exact;recovering;understory plants;presence, except mooses, < 2 m height;abundance;no. stems;yes;fixed plots/quadrats;1;NA;20;40;20;sucessive fragmentation, selective logging since 1903;NA;clear-cutting;NA;1;NA;NA;NA;Solomon Is.;understory;users;logging;NA;NA;NA;none;0;0;none;regular;community;species;340;31;114;4.729.066.256.696.790;127.819.821.662;9;0.14583333333333334;-8.01;157.07
PR_Katovai et al. 2012_Understory plants, Solomon Islands_secondary.high4_NA;PR;Katovai et al. 2012_Understory plants, Solomon Islands_secondary.high4_NA;PR_Katovai et al. 2012_Understory plants, Solomon Islands;PR_Katovai et al. 2012_Understory plants, Solomon Islands;Katovai et al. 2012;Understory plants, Solomon Islands;secondary.high4;NA;secondary.high4;-802.903.333.333;157.004;18;18;2009;exact;recovering;understory plants;presence, except mooses, < 2 m height;abundance;no. stems;yes;fixed plots/quadrats;1;NA;20;40;20;sucessive fragmentation, selective logging since 1903;NA;clear-cutting;NA;1;NA;NA;NA;Solomon Is.;understory;users;logging;NA;NA;NA;none;0;0;none;regular;community;species;340;31;111;4.644.804.980.904.040;113.078.016.562;6;0.14583333333333334;-8.01;157.07
PR_Katovai et al. 2012_Understory plants, Solomon Islands_secondary.low1_NA;PR;Katovai et al. 2012_Understory plants, Solomon Islands_secondary.low1_NA;PR_Katovai et al. 2012_Understory plants, Solomon Islands;PR_Katovai et al. 2012_Understory plants, Solomon Islands;Katovai et al. 2012;Understory plants, Solomon Islands;secondary.low1;NA;secondary.low1;-800.938.333.333;156.958.466.667;18;18;2009;exact;recovering;understory plants;presence, except mooses, < 2 m height;abundance;no. stems;yes;fixed plots/quadrats;1;NA;20;40;20;sucessive fragmentation, selective logging since 1903;NA;clear-cutting;NA;1;NA;NA;NA;Solomon Is.;understory;users;logging;NA;NA;NA;none;0;0;none;regular;community;species;340;55;482;4.331.014.758.244.840;1.719.680.696.975;18;0.14583333333333334;-8.01;157.07
PR_Katovai et al. 2012_Understory plants, Solomon Islands_secondary.low2_NA;PR;Katovai et al. 2012_Understory plants, Solomon Islands_secondary.low2_NA;PR_Katovai et al. 2012_Understory plants, Solomon Islands;PR_Katovai et al. 2012_Understory plants, Solomon Islands;Katovai et al. 2012;Understory plants, Solomon Islands;secondary.low2;NA;secondary.low2;-801.438.333.333;156.956.016.667;18;18;2009;exact;recovering;understory plants;presence, except mooses, < 2 m height;abundance;no. stems;yes;fixed plots/quadrats;1;NA;20;40;20;sucessive fragmentation, selective logging since 1903;NA;clear-cutting;NA;1;NA;NA;NA;Solomon Is.;understory;users;logging;NA;NA;NA;none;0;0;none;regular;community;species;340;51;284;488.301.824.677.282;1.370.100.991.475;14;0.14583333333333334;-8.01;157.07
PR_Katovai et al. 2012_Understory plants, Solomon Islands_secondary.low3_NA;PR;Katovai et al. 2012_Understory plants, Solomon Islands_secondary.low3_NA;PR_Katovai et al. 2012_Understory plants, Solomon Islands;PR_Katovai et al. 2012_Understory plants, Solomon Islands;Katovai et al. 2012;Understory plants, Solomon Islands;secondary.low3;NA;secondary.low3;-798.323.333.333;156.952.516.667;18;18;2009;exact;recovering;understory plants;presence, except mooses, < 2 m height;abundance;no. stems;yes;fixed plots/quadrats;1;NA;20;40;20;sucessive fragmentation, selective logging since 1903;NA;clear-cutting;NA;1;NA;NA;NA;Solomon Is.;understory;users;logging;NA;NA;NA;none;0;0;none;regular;community;species;340;51;231;5.317.180.339.966.370;213.319.931.562;18;0.14583333333333334;-8.01;157.07
PR_Katovai et al. 2012_Understory plants, Solomon Islands_secondary.low4_NA;PR;Katovai et al. 2012_Understory plants, Solomon Islands_secondary.low4_NA;PR_Katovai et al. 2012_Understory plants, Solomon Islands;PR_Katovai et al. 2012_Understory plants, Solomon Islands;Katovai et al. 2012;Understory plants, Solomon Islands;secondary.low4;NA;secondary.low4;-803.405;156.960.816.667;18;18;2009;exact;recovering;understory plants;presence, except mooses, < 2 m height;abundance;no. stems;yes;fixed plots/quadrats;1;NA;20;40;20;sucessive fragmentation, selective logging since 1903;NA;clear-cutting;NA;1;NA;NA;NA;Solomon Is.;understory;users;logging;NA;NA;NA;none;0;0;none;regular;community;species;340;53;300;495.081.149.993.674;2.379.592.022.975;19;0.14583333333333334;-8.01;157.07
PR_Katovai et al. 2012_Understory plants, Solomon Islands_secondary.med1_NA;PR;Katovai et al. 2012_Understory plants, Solomon Islands_secondary.med1_NA;PR_Katovai et al. 2012_Understory plants, Solomon Islands;PR_Katovai et al. 2012_Understory plants, Solomon Islands;Katovai et al. 2012;Understory plants, Solomon Islands;secondary.med1;NA;secondary.med1;-79.595;15.696.935;18;18;2009;exact;recovering;understory plants;presence, except mooses, < 2 m height;abundance;no. stems;yes;fixed plots/quadrats;1;NA;20;40;20;sucessive fragmentation, selective logging since 1903;NA;clear-cutting;NA;1;NA;NA;NA;Solomon Is.;understory;users;logging;NA;NA;NA;none;0;0;none;regular;community;species;340;47;202;4.881.860.952.927.640;112.956.547.332;12;0.14583333333333334;-8.01;157.07
PR_Katovai et al. 2012_Understory plants, Solomon Islands_secondary.med2_NA;PR;Katovai et al. 2012_Understory plants, Solomon Islands_secondary.med2_NA;PR_Katovai et al. 2012_Understory plants, Solomon Islands;PR_Katovai et al. 2012_Understory plants, Solomon Islands;Katovai et al. 2012;Understory plants, Solomon Islands;secondary.med2;NA;secondary.med2;-796.165;156.981.866.667;18;18;2009;exact;recovering;understory plants;presence, except mooses, < 2 m height;abundance;no. stems;yes;fixed plots/quadrats;1;NA;20;40;20;sucessive fragmentation, selective logging since 1903;NA;clear-cutting;NA;1;NA;NA;NA;Solomon Is.;understory;users;logging;NA;NA;NA;none;0;0;none;regular;community;species;340;38;175;4.705.789.590.987.700;85.387.329.662;8;0.14583333333333334;-8.01;157.07
PR_Katovai et al. 2012_Understory plants, Solomon Islands_secondary.med3_NA;PR;Katovai et al. 2012_Understory plants, Solomon Islands_secondary.med3_NA;PR_Katovai et al. 2012_Understory plants, Solomon Islands;PR_Katovai et al. 2012_Understory plants, Solomon Islands;Katovai et al. 2012;Understory plants, Solomon Islands;secondary.med3;NA;secondary.med3;-798.253.333.333;156.966.266.667;18;18;2009;exact;recovering;understory plants;presence, except mooses, < 2 m height;abundance;no. stems;yes;fixed plots/quadrats;1;NA;20;40;20;sucessive fragmentation, selective logging since 1903;NA;clear-cutting;NA;1;NA;NA;NA;Solomon Is.;understory;users;logging;NA;NA;NA;none;0;0;none;regular;community;species;340;48;284;4.913.157.424.094.430;179.208.230.562;14;0.14583333333333334;-8.01;157.07
PR_Katovai et al. 2012_Understory plants, Solomon Islands_secondary.med4_NA;PR;Katovai et al. 2012_Understory plants, Solomon Islands_secondary.med4_NA;PR_Katovai et al. 2012_Understory plants, Solomon Islands;PR_Katovai et al. 2012_Understory plants, Solomon Islands;Katovai et al. 2012;Understory plants, Solomon Islands;secondary.med4;NA;secondary.med4;-802.848.333.333;15.698.095;18;18;2009;exact;recovering;understory plants;presence, except mooses, < 2 m height;abundance;no. stems;yes;fixed plots/quadrats;1;NA;20;40;20;sucessive fragmentation, selective logging since 1903;NA;clear-cutting;NA;1;NA;NA;NA;Solomon Is.;understory;users;logging;NA;NA;NA;none;0;0;none;regular;community;species;340;42;178;5.073.326.447.818.910;1.588.296.927;11;0.14583333333333334;-8.01;157.07
PR_Letcher and Chazdon 2009_Forest recovery Costa Rica_Transect 1 - LOC 600_NA;PR;Letcher and Chazdon 2009_Forest recovery Costa Rica_Transect 1 - LOC 600_NA;PR_Letcher and Chazdon 2009_Forest recovery Costa Rica;PR_Letcher and Chazdon 2009_Forest recovery Costa Rica;Letcher and Chazdon 2009;Forest recovery Costa Rica;Transect 1 - LOC 600;NA;Transect 1 - LOC 600;1.042.972.222;-8.401.666.667;21;21;2004;exact;recovering;Tracheophyta;"dbh woody species ≥ 2.5 cm; dbh lianas ≥ 0.5 cm; diameter giant herbs > 2.5 cm";abundance;abundance (individuals);no;line/belt transects;1;NA;1;30;1000;NA;NA;pasture ca 15 years;NA;1;NA;Modified Gentry transect (Phillips & Miller 2002) to survey vegetation in 0.1 ha at each site. The transect consisted of a series of five parallel strips of 2x100 m, each separated by 10m. So it is like 5 transects in one but I put one replicate per site;Wen;Costa Rica;vascular plants;mix;animal farming;NA;NA;NA;none;0;0;none;regular;community;species;476;69;257;5.294.275.901.971.780;3.745.793.400.639;60;0.014675052;10.42;-84.05
PR_Letcher and Chazdon 2009_Forest recovery Costa Rica_Transect 10 - SHO 1550_NA;PR;Letcher and Chazdon 2009_Forest recovery Costa Rica_Transect 10 - SHO 1550_NA;PR_Letcher and Chazdon 2009_Forest recovery Costa Rica;PR_Letcher and Chazdon 2009_Forest recovery Costa Rica;Letcher and Chazdon 2009;Forest recovery Costa Rica;Transect 10 - SHO 1550;NA;Transect 10 - SHO 1550;1.041.138.889;-8.400.777.778;500;Old;2005;category;reference;Tracheophyta;"dbh woody species ≥ 2.5 cm; dbh lianas ≥ 0.5 cm; diameter giant herbs > 2.5 cm";abundance;abundance (individuals);no;line/belt transects;1;NA;1;30;1000;NA;NA;none;NA;0;NA;Modified Gentry transect (Phillips & Miller 2002) to survey vegetation in 0.1 ha at each site. The transect consisted of a series of five parallel strips of 2x100 m, each separated by 10m. So it is like 5 transects in one but I put one replicate per site;Wen;Costa Rica;vascular plants;mix;none;NA;NA;NA;none;0;0;none;regular;community;species;476;81;219;5.867.243.428.038.430;4.924.628.377.791;72;0.014675052;10.42;-84.05
PR_Letcher and Chazdon 2009_Forest recovery Costa Rica_Transect 11 - LEP 1650_NA;PR;Letcher and Chazdon 2009_Forest recovery Costa Rica_Transect 11 - LEP 1650_NA;PR_Letcher and Chazdon 2009_Forest recovery Costa Rica;PR_Letcher and Chazdon 2009_Forest recovery Costa Rica;Letcher and Chazdon 2009;Forest recovery Costa Rica;Transect 11 - LEP 1650;NA;Transect 11 - LEP 1650;1.042.416.667;-8.403.944.444;500;Old;2005;category;reference;Tracheophyta;"dbh woody species ≥ 2.5 cm; dbh lianas ≥ 0.5 cm; diameter giant herbs > 2.5 cm";abundance;abundance (individuals);no;line/belt transects;1;NA;1;30;1000;NA;NA;none;NA;0;NA;Modified Gentry transect (Phillips & Miller 2002) to survey vegetation in 0.1 ha at each site. The transect consisted of a series of five parallel strips of 2x100 m, each separated by 10m. So it is like 5 transects in one but I put one replicate per site;Wen;Costa Rica;vascular plants;mix;none;NA;NA;NA;none;0;0;none;regular;community;species;476;98;225;6.149.647.858.544.040;5.197.333.988.251;87;0.014675052;10.42;-84.05
PR_Letcher and Chazdon 2009_Forest recovery Costa Rica_Transect 12 - Juan Enriquez_NA;PR;Letcher and Chazdon 2009_Forest recovery Costa Rica_Transect 12 - Juan Enriquez_NA;PR_Letcher and Chazdon 2009_Forest recovery Costa Rica;PR_Letcher and Chazdon 2009_Forest recovery Costa Rica;Letcher and Chazdon 2009;Forest recovery Costa Rica;Transect 12 - Juan Enriquez;NA;Transect 12 - Juan Enriquez;1.045.472.222;-8.406.583.333;10;10;2005;exact;recovering;Tracheophyta;"dbh woody species ≥ 2.5 cm; dbh lianas ≥ 0.5 cm; diameter giant herbs > 2.5 cm";abundance;abundance (individuals);no;line/belt transects;1;NA;1;30;1000;NA;NA;pasture ca 10 years;NA;1;NA;Modified Gentry transect (Phillips & Miller 2002) to survey vegetation in 0.1 ha at each site. The transect consisted of a series of five parallel strips of 2x100 m, each separated by 10m. So it is like 5 transects in one but I put one replicate per site;Wen;Costa Rica;vascular plants;mix;animal farming;NA;NA;NA;none;0;0;none;regular;community;species;476;72;261;5.378.315.822.189.720;4.842.615.785.674;65;0.014675052;10.42;-84.05
PR_Letcher and Chazdon 2009_Forest recovery Costa Rica_Transect 13 - Sueno Azul_NA;PR;Letcher and Chazdon 2009_Forest recovery Costa Rica_Transect 13 - Sueno Azul_NA;PR_Letcher and Chazdon 2009_Forest recovery Costa Rica;PR_Letcher and Chazdon 2009_Forest recovery Costa Rica;Letcher and Chazdon 2009;Forest recovery Costa Rica;Transect 13 - Sueno Azul;NA;Transect 13 - Sueno Azul;1.036.083.333;-8.399.277.778;14;14;2005;exact;recovering;Tracheophyta;"dbh woody species ≥ 2.5 cm; dbh lianas ≥ 0.5 cm; diameter giant herbs > 2.5 cm";abundance;abundance (individuals);no;line/belt transects;1;NA;1;30;1000;NA;NA;pasture ca 10 years;NA;1;NA;Modified Gentry transect (Phillips & Miller 2002) to survey vegetation in 0.1 ha at each site. The transect consisted of a series of five parallel strips of 2x100 m, each separated by 10m. So it is like 5 transects in one but I put one replicate per site;Wen;Costa Rica;vascular plants;mix;animal farming;NA;NA;NA;none;0;0;none;regular;community;species;476;62;400;5.006.414.762.377.530;4.287.735.484;55;0.014675052;10.42;-84.05
PR_Letcher and Chazdon 2009_Forest recovery Costa Rica_Transect 14 - El Bejuco_NA;PR;Letcher and Chazdon 2009_Forest recovery Costa Rica_Transect 14 - El Bejuco_NA;PR_Letcher and Chazdon 2009_Forest recovery Costa Rica;PR_Letcher and Chazdon 2009_Forest recovery Costa Rica;Letcher and Chazdon 2009;Forest recovery Costa Rica;Transect 14 - El Bejuco;NA;Transect 14 - El Bejuco;1.045.444.444;-8.406.444.445;10;10;2005;exact;recovering;Tracheophyta;"dbh woody species ≥ 2.5 cm; dbh lianas ≥ 0.5 cm; diameter giant herbs > 2.5 cm";abundance;abundance (individuals);no;line/belt transects;1;NA;1;30;1000;NA;NA;pasture ca 10 years;NA;1;NA;Modified Gentry transect (Phillips & Miller 2002) to survey vegetation in 0.1 ha at each site. The transect consisted of a series of five parallel strips of 2x100 m, each separated by 10m. So it is like 5 transects in one but I put one replicate per site;Wen;Costa Rica;vascular plants;mix;animal farming;NA;NA;NA;none;0;0;none;regular;community;species;476;70;288;4.644.429.511.937.130;443.238.195.971;65;0.014675052;10.42;-84.05
PR_Letcher and Chazdon 2009_Forest recovery Costa Rica_Transect 15 - STR 2450_NA;PR;Letcher and Chazdon 2009_Forest recovery Costa Rica_Transect 15 - STR 2450_NA;PR_Letcher and Chazdon 2009_Forest recovery Costa Rica;PR_Letcher and Chazdon 2009_Forest recovery Costa Rica;Letcher and Chazdon 2009;Forest recovery Costa Rica;Transect 15 - STR 2450;NA;Transect 15 - STR 2450;1.043.388.889;-8.402.305.556;18;18;2005;exact;recovering;Tracheophyta;"dbh woody species ≥ 2.5 cm; dbh lianas ≥ 0.5 cm; diameter giant herbs > 2.5 cm";abundance;abundance (individuals);no;line/belt transects;1;NA;1;30;1000;NA;NA;pasture ca 13 years;NA;1;NA;Modified Gentry transect (Phillips & Miller 2002) to survey vegetation in 0.1 ha at each site. The transect consisted of a series of five parallel strips of 2x100 m, each separated by 10m. So it is like 5 transects in one but I put one replicate per site;Wen;Costa Rica;vascular plants;mix;animal farming;NA;NA;NA;none;0;0;none;regular;community;species;476;69;335;4.603.395.560.316.790;4.575.750.169.934;65;0.014675052;10.42;-84.05
PR_Letcher and Chazdon 2009_Forest recovery Costa Rica_Transect 16 - La Guarea inland_NA;PR;Letcher and Chazdon 2009_Forest recovery Costa Rica_Transect 16 - La Guarea inland_NA;PR_Letcher and Chazdon 2009_Forest recovery Costa Rica;PR_Letcher and Chazdon 2009_Forest recovery Costa Rica;Letcher and Chazdon 2009;Forest recovery Costa Rica;Transect 16 - La Guarea inland;NA;Transect 16 - La Guarea inland;1.044.055.556;-8.402.527.778;18;18;2006;exact;recovering;Tracheophyta;"dbh woody species ≥ 2.5 cm; dbh lianas ≥ 0.5 cm; diameter giant herbs > 2.5 cm";abundance;abundance (individuals);no;line/belt transects;1;NA;1;30;1000;NA;NA;pasture > 20 years;NA;1;NA;Modified Gentry transect (Phillips & Miller 2002) to survey vegetation in 0.1 ha at each site. The transect consisted of a series of five parallel strips of 2x100 m, each separated by 10m. So it is like 5 transects in one but I put one replicate per site;Wen;Costa Rica;vascular plants;mix;animal farming;NA;NA;NA;none;0;0;none;regular;community;species;476;48;268;4.441.925.334.901.750;368.340.554;46;0.014675052;10.42;-84.05
