taxon_clean;taxon_ori;kingdom;phylum;class;order;family;genus;IsGymnosperm
Ampelocissus thyrsiflora;Ampelocissus thyrsiflora;Plantae;Tracheophyta;Magnoliopsida;Vitales;Vitaceae;Ampelocissus;No
Amperea xiphoclada;Amperea xiphoclada;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Euphorbiaceae;Amperea;No
Amphidium lapponicum;Amphidium lapponicum;Plantae;Bryophyta;Bryopsida;Dicranales;Amphidiaceae;Amphidium;No
Amphidium mougeotii;Amphidium mougeotii;Plantae;Bryophyta;Bryopsida;Dicranales;Amphidiaceae;Amphidium;No
Amphitecna kennedyae;Amphitecna kennedyae;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Bignoniaceae;Amphitecna;No
Amydrium medium;Amydrium medium;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Amydrium;No
Amyris elemifera;Amyris elemifera L.;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Anacardium excelsum;Anacardium excelsum;Plantae;Tracheophyta;Magnoliopsida;Sapindales;Anacardiaceae;Anacardium;No
Anacardium giganteum;Anacardium giganteum;Plantae;Tracheophyta;Magnoliopsida;Sapindales;Anacardiaceae;Anacardium;No
Anacardium occidentale;Anacardium occidentale;Plantae;Tracheophyta;Magnoliopsida;Sapindales;Anacardiaceae;Anacardium;No
Anadenanthera colubrina;Anadenanthera colubrina (Vell.) Brenan;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Anadendrum microstachyum;Anadendrum microstachyum;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Anadendrum;No
Anagallis arvensis;Anagallis arvensis;Plantae;Tracheophyta;Magnoliopsida;Ericales;Primulaceae;Lysimachia;No
Anamirta cocculus;Anamirta cocculus;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Menispermaceae;Anamirta;No
Ananas comosus bracteatus;Ananas comosus var. bracteotus;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Menispermaceae;Anamirta;No
Ananas comosus bracteatus;Ananas comosus var. bracteotus;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Anaphalis margaritacea;Anaphalis margaritacea;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Anaphalis;No
Anarrhinum bellidifolium;Anarrhinum bellidifolium;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Plantaginaceae;Anarrhinum;No
Anastrophyllum hellerianum;Anastrophyllum hellerianum;Plantae;Marchantiophyta;Jungermanniopsida;Jungermanniales;Anastrophyllaceae;Crossocalyx;No
Anastrophyllum michauxii;Anastrophyllum michauxii;Plantae;Marchantiophyta;Jungermanniopsida;Jungermanniales;Anastrophyllaceae;Anastrophyllum;No
Anastrophyllum minutum;Anastrophyllum minutum;Plantae;Marchantiophyta;Jungermanniopsida;Jungermanniales;Anastrophyllaceae;Sphenolobus;No
Anastrophyllum saxicola;Anastrophyllum saxicola;Plantae;Marchantiophyta;Jungermanniopsida;Jungermanniales;Anastrophyllaceae;Sphenolobus;No
Anaxagorea crassipetala;Anaxagorea crassipetala;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Anaxagorea;No
Anaxagorea rufa;Anaxagorea rufa Timmerman;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Anaxagorea;No
Ancistrocladus tectorius;Ancistrocladus tectorius;Plantae;Tracheophyta;Magnoliopsida;Caryophyllales;Ancistrocladaceae;Ancistrocladus;No
Andira fraxinifolia;Andira fraxinifolia Benth.;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Andira inermis;Andira inermis;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Andira;No
Andira inermis;Andira inermis (Fabaceae);Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Andira retusa;Andira retusa;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Andira;No
Andreaea rupestris;Andreaea rupestris;Plantae;Bryophyta;Andreaeopsida;Andreaeales;Andreaeaceae;Andreaea;No
Andropogon virginicus;Andropogon virginicus;Plantae;Tracheophyta;Liliopsida;Poales;Poaceae;Andropogon;No
Andryala integrifolia;Andryala integrifolia;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Andryala;No
Aneilema ;Aneilema sp.1;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Aneilema sp ;Aneilema sp.1;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Andryala;No
ANEMONE NEMOROSA;ANEMONE   NEMOROSA;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Andryala;No
Anemone quinquefolia;Anemone quinquefolia L;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Anemopaegma chrysoleucum;Anemopaegma chrysoleucum;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Bignoniaceae;Anemopaegma;No
Anemopaegma orbiculatum;Anemopaegma orbiculatum;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Bignoniaceae;Anemopaegma;No
Aneura pinguis;Aneura pinguis;Plantae;Marchantiophyta;Jungermanniopsida;Metzgeriales;Aneuraceae;Aneura;No
ANGELICA SYLVESTR;ANGELICA   SYLVESTR;Plantae;Marchantiophyta;Jungermanniopsida;Metzgeriales;Aneuraceae;Aneura;No
Angophora costata;Angophora costata;Plantae;Tracheophyta;Magnoliopsida;Myrtales;Myrtaceae;Angophora;No
Aniba riparia;Aniba  riparia (Nees) Mez.;Plantae;Tracheophyta;Magnoliopsida;Myrtales;Myrtaceae;Angophora;No
Aniba hostmanniana;Aniba cf hostmanniana (Nees) Mez;Plantae;Tracheophyta;Magnoliopsida;Myrtales;Myrtaceae;Angophora;No
Aniba williamsii;Aniba cf williamsii O. Schmidth;Plantae;Tracheophyta;Magnoliopsida;Myrtales;Myrtaceae;Angophora;No
Aniba Permollis;Aniba cf. Permollis;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Aniba hostmanniana;Aniba hostmaniana;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Aniba parviflora;Aniba parviflora;Plantae;Tracheophyta;Magnoliopsida;Laurales;Lauraceae;Aniba;No
Aniba puchury-minor;Aniba puchury-minor (C. Martius) Mez.;Plantae;Tracheophyta;Magnoliopsida;Laurales;Lauraceae;Aniba;No
Aniba sp ;Aniba sp 1;Plantae;Tracheophyta;Magnoliopsida;Laurales;Lauraceae;Aniba;No
Aniba ;Aniba sp. 1;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Aniba;Aniba sp. 2;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Aningeria altissima;Aningeria altissima;Plantae;Tracheophyta;Magnoliopsida;Ericales;Sapotaceae;Aningeria;No
Anisophyllea beccariana;Anisophyllea beccariana;Plantae;Tracheophyta;Magnoliopsida;Cucurbitales;Anisophylleaceae;Anisophyllea;No
Anisophyllea disticha;Anisophyllea disticha;Plantae;Tracheophyta;Magnoliopsida;Cucurbitales;Anisophylleaceae;Anisophyllea;No
Anisophyllea corneri;Anisophylleacorneri;Plantae;Tracheophyta;Magnoliopsida;Cucurbitales;Anisophylleaceae;Anisophyllea;No
Anisoptera costata;Anisoptera costata;Plantae;Tracheophyta;Magnoliopsida;Malvales;Dipterocarpaceae;Anisoptera;No
Anisoptera grossivenia;Anisoptera grossivenia;Plantae;Tracheophyta;Magnoliopsida;Malvales;Dipterocarpaceae;Anisoptera;No
Anisoptera marginata;Anisoptera marginata;Plantae;Tracheophyta;Magnoliopsida;Malvales;Dipterocarpaceae;Anisoptera;No
Anneslea fragrans;Anneslea fragrans Wall.;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Annona ambotay;Annona ambotay;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Annona;No
Annona cherimola;Annona cherimola;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Annona;No
Annona densicoma;Annona densicoma;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Annona;No
Annona excellens;Annona excellens R.E.Fries;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Annona;No
Annona montana;Annona montana;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Annona;No
Annona paludosa;Annona paludosa;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Annona;No
Annona purpurea;Annona purpurea;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Annona;No
Annona reticulata;Annona reticulata;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Annona;No
Annona;Annona sp.;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Annona spraguei;Annona spraguei;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Annona;No
Annona subnubila;Annona subnubila;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Annona;No
Annonaceae sp;Annonaceae sp1;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Asimina;No
Annonaceae sp2;Annonaceae sp2;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Asimina;No
Annonaceae sp3;Annonaceae sp3;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Asimina;No
Annonaceae sp4;Annonaceae sp4;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Asimina;No
Anodendron affine;Anodendron affine;Plantae;Tracheophyta;Magnoliopsida;Gentianales;Apocynaceae;Anodendron;No
Anodendron pauciflorum;Anodendron cf. pauciflorum;Plantae;Tracheophyta;Magnoliopsida;Gentianales;Apocynaceae;Anodendron;No
Anodendron pauciflorum;Anodendron cf. pauciflorum;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Anogeissus acuminata;Anogeissus acuminata;Plantae;Tracheophyta;Magnoliopsida;Myrtales;Combretaceae;Anogeissus;No
Anogeissus latifolia;Anogeissus latfoliua;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Anomospermum reticulatum;Anomospermum reticulatum;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Menispermaceae;Anomospermum;No
Annona muricata;Anona muricata;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Anoplolejeunea conferta;Anoplolejeunea conferta;Plantae;Marchantiophyta;Jungermanniopsida;Porellales;Lejeuneaceae;Anoplolejeunea;No
Antennaria rosea;Antennaria rosea;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Antennaria;No
Anthocephalus cadamba;Anthocephalus cadamba;Plantae;Tracheophyta;Magnoliopsida;Gentianales;Rubiaceae;Neolamarckia;No
Anthocephalus chinensis;Anthocephalus chinensis;Plantae;Tracheophyta;Magnoliopsida;Gentianales;Rubiaceae;Neolamarckia;No
Anthocephalus morindifolius;Anthocephalus morindaefolius;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Anthocleista zambesiaca;Anthocleista zambesiaca Baker;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Anthodiscus amazonicus;Anthodiscus cf amazonicus Gleason & C.A. Smith;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Caryocaraceae;Anthodiscus;No
ANTHRISCUS SYLVES;ANTHRISCUS   SYLVES;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Caryocaraceae;Anthodiscus;No
Anthurium;Anthurium sp.;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Anthyllis lotoides;Anthyllis lotoides;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Anthyllis;No
Antidesma bunius;Antidesma bunius;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Phyllanthaceae;Antidesma;No
Antidesma leucopodum;Antidesma leucopodum;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Phyllanthaceae;Antidesma;No
Antidesma neurocarpum;Antidesma neurocarpum;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Phyllanthaceae;Antidesma;No
Antidesma sp ;Antidesma sp. 1;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Phyllanthaceae;Antidesma;No
Antidesma ;Antidesma sp.1;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Antidesma;Antidesma sp.2;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Antidesma sp 2;Antidesma sp.2;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Phyllanthaceae;Antidesma;No
Antidesma stipulare;Antidesma stipulare;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Phyllanthaceae;Antidesma;No
Antidesma tomentosum;Antidesma tomentosum;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Phyllanthaceae;Antidesma;No
Antidesma trunciflorum;Antidesma trunciflorum;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Phyllanthaceae;Antidesma;No
Antidesma velutinum;Antidesma velutinum;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Phyllanthaceae;Antidesma;No
Antrophyum callifolium;Antrophyum callifolium;Plantae;Tracheophyta;Polypodiopsida;Polypodiales;Pteridaceae;Antrophyum;No
Antrophyum reticulatum;Antrophyum reticulatum;Plantae;Tracheophyta;Polypodiopsida;Polypodiales;Pteridaceae;Antrophyum;No
Anisophyllea guianensis;Anysophyllea guianensis;Plantae;Tracheophyta;Polypodiopsida;Polypodiales;Pteridaceae;Antrophyum;No
Anzia hypoleucoides;Anzia hypoleucoides;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Anzia leucobatoides f hypomelaena;Anzia leucobatoides f. hypomelaena;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Anzia physoidea;Anzia physoidea;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Aotus ericoides;Aotus ericoides;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Aotus;No
Apeiba burchellii;Apeiba burchellii;Plantae;Tracheophyta;Magnoliopsida;Malvales;Malvaceae;Apeiba;No
Apeiba glabra;Apeiba cf. glabra;Plantae;Tracheophyta;Magnoliopsida;Malvales;Malvaceae;Apeiba;No
Apeiba echinata;Apeiba echinata;Plantae;Tracheophyta;Magnoliopsida;Malvales;Malvaceae;Apeiba;No
Apeiba membranacea;Apeiba membranacea;Plantae;Tracheophyta;Magnoliopsida;Malvales;Malvaceae;Apeiba;No
Apeiba tibourbou;Apeiba tibourbou;Plantae;Tracheophyta;Magnoliopsida;Malvales;Malvaceae;Apeiba;No
Apera interrupta;Apera interrupta;Plantae;Tracheophyta;Liliopsida;Poales;Poaceae;Apera;No
Apera spica-venti;Apera spica-venti;Plantae;Tracheophyta;Liliopsida;Poales;Poaceae;Apera;No
Aphanamixis borneensis;Aphanamixis borneensis;Plantae;Tracheophyta;Magnoliopsida;Sapindales;Meliaceae;Aphanamixis;No
Aphanamixis polystachya;Aphanamixis polystachya;Plantae;Tracheophyta;Magnoliopsida;Sapindales;Meliaceae;Aphanamixis;No
Aphanamixis;Aphanamixis sp.;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Aphanamixis sp ;Aphanamixis sp. 1;Plantae;Tracheophyta;Magnoliopsida;Sapindales;Meliaceae;Aphanamixis;No
Aphanamixis polystachya;Aphanamyxis polystachya;Plantae;Tracheophyta;Magnoliopsida;Sapindales;Meliaceae;Aphanamixis;No
Aphanes inexpectata;Aphanes inexpectata;Plantae;Tracheophyta;Magnoliopsida;Rosales;Rosaceae;Aphanes;No
Aphelandra scabra;Aphelandra scabra (Vahl) Sm.;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Aphania senegalensis;Aphonia senegalensis;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Apocynaceae;Apocynaceae;Plantae;Tracheophyta;Magnoliopsida;Gentianales;Apocynaceae;Nerium;No
Apocynaceae sp;Apocynaceae  sp1;Plantae;Tracheophyta;Magnoliopsida;Gentianales;Apocynaceae;Nerium;No
Apocynaceae sp2;Apocynaceae sp2;Plantae;Tracheophyta;Magnoliopsida;Gentianales;Apocynaceae;Nerium;No
Apodytes dimidiata;Apodytes dimidiata;Plantae;Tracheophyta;Magnoliopsida;Metteniusales;Metteniusaceae;Apodytes;No
Aporosa acuminatissima;Aporosa acuminatissima;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Phyllanthaceae;Aporosa;No
Aporosa chinensis;Aporosa chinensis;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Phyllanthaceae;Aporosa;No
Aporosa elmeri;Aporosa elmeri;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Phyllanthaceae;Aporosa;No
Aporosa grandistipula;Aporosa grandistipula;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Phyllanthaceae;Aporosa;No
Aporosa lucida;Aporosa lucida;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Phyllanthaceae;Aporosa;No
Aporosa nitida;Aporosa nitida;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Phyllanthaceae;Aporosa;No
Aporosa serrata;Aporosa serrata;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Phyllanthaceae;Aporosa;No
Aporosa sp ;Aporosa sp. 1;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Phyllanthaceae;Aporosa;No
Aporosa sp 2;Aporosa sp. 2;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Phyllanthaceae;Aporosa;No
Aporosa sp 4;Aporosa sp. 4;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Phyllanthaceae;Aporosa;No
Aporosa sp 5;Aporosa sp. 5;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Phyllanthaceae;Aporosa;No
Aporosa villosa;Aporosa villosa (Lindl.) Baill;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Aporosa dioica;Aporusa dioica;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Aporosa elmeri;Aporusa elmeri;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Aporosa falcifera;Aporusa falcifera;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Aporosa frutescens;Aporusa frutescens;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Aporosa grandistipula;Aporusa grandistipula;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Aporosa lucida;Aporusa lucida;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Aporosa nitida;Aporusa nitida;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Aporusa ;Aporusa sp.1;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Aporusa;Aporusa sp.2;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Aporosa subcaudata;Aporusa subcaudata;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Appendicula ;Appendicula sp.1;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Appendicula sp ;Appendicula sp.1;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Phyllanthaceae;Aporosa;No
Appendicula;Appendicula sp.2;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Appendicula sp 2;Appendicula sp.2;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Phyllanthaceae;Aporosa;No
Aptandra tubicina;Aptandra  tubicina (Poepp.) Benth. ex Miers.;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Phyllanthaceae;Aporosa;No
Aquilaria beccariana;Aquilaria beccariana;Plantae;Tracheophyta;Magnoliopsida;Malvales;Thymelaeaceae;Aquilaria;No
Aquilaria malaccensis;Aquilaria malaccensis;Plantae;Tracheophyta;Magnoliopsida;Malvales;Thymelaeaceae;Aquilaria;No
Aquilaria sinensis;Aquilaria sinensis;Plantae;Tracheophyta;Magnoliopsida;Malvales;Thymelaeaceae;Aquilaria;No
Arabis drummondii;Arabis drummondii;Plantae;Tracheophyta;Magnoliopsida;Brassicales;Brassicaceae;Boechera;No
Arachniodes aristata;Arachniodes aristata;Plantae;Tracheophyta;Polypodiopsida;Polypodiales;Dryopteridaceae;Arachniodes;No
Arachniodes sporadosora;Arachniodes sporadosora;Plantae;Tracheophyta;Polypodiopsida;Polypodiales;Dryopteridaceae;Arachniodes;No
Arachnothryx capitellata;Arachnothryx capitellata;Plantae;Tracheophyta;Magnoliopsida;Gentianales;Rubiaceae;Arachnothryx;No
Aralia chinensis;Araiia chinensis;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Aralia nudicaulis;Aralia nudicaulis;Plantae;Tracheophyta;Magnoliopsida;Apiales;Araliaceae;Aralia;No
Arcangelisia flava;Arcangelisia flava;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Menispermaceae;Arcangelisia;No
Archidendron clypearia;Archidendron clypearia;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Archidendron;No
Archidendron clypearia;Archidendron clyperaria (Jack) Niels.;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Archidendron ellipticum;Archidendron ellipticum;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Archidendron;No
Archidendron jiringa;Archidendron jiringa;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Archidendron;No
Archidendron microcarpum;Archidendron microcarpum;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Archidendron;No
Archidendron sp ;Archidendron sp. 1;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Archidendron;No
Archidendron sp 2;Archidendron sp. 2;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Archidendron;No
Archidendron sp 3;Archidendron sp. 3;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Archidendron;No
Archidendron sp 4;Archidendron sp. 4;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Archidendron;No
Archidendron triplinervium;Archidendron triplinervium;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Archidendron;No
Archiodendron sp;Archiodendron sp.;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Archidendron;No
Arctostaphylos uva-ursi;Arctostaphylos uva-ursi;Plantae;Tracheophyta;Magnoliopsida;Ericales;Ericaceae;Arctostaphylos;No
Ardisia auriculata;Ardisia auriculata;Plantae;Tracheophyta;Magnoliopsida;Ericales;Primulaceae;Ardisia;No
Ardisia colorata;Ardisia colorata;Plantae;Tracheophyta;Magnoliopsida;Ericales;Primulaceae;Ardisia;No
Ardisia crenata;Ardisia crenata;Plantae;Tracheophyta;Magnoliopsida;Ericales;Primulaceae;Ardisia;No
Ardisia elliptica;Ardisia elliptica;Plantae;Tracheophyta;Magnoliopsida;Ericales;Primulaceae;Ardisia;No
Ardisia escallonioides;Ardisia escallonioides Schltdl. y Cham.;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Ardisia fimbrillifera;Ardisia fimbrillifera;Plantae;Tracheophyta;Magnoliopsida;Ericales;Primulaceae;Ardisia;No
Ardisia japonica;Ardisia japonica;Plantae;Tracheophyta;Magnoliopsida;Ericales;Primulaceae;Ardisia;No
Ardisia macrophylla;Ardisia macrophylla;Plantae;Tracheophyta;Magnoliopsida;Ericales;Primulaceae;Ardisia;No
Ardisia myristicifolia;Ardisia myristicaefolia;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Ardisia nigropunctata;Ardisia nigropunctata;Plantae;Tracheophyta;Magnoliopsida;Ericales;Primulaceae;Ardisia;No
Ardisia pachysandra;Ardisia pachysandra;Plantae;Tracheophyta;Magnoliopsida;Ericales;Primulaceae;Ardisia;No
Ardisia quinquegona;Ardisia quinquegona;Plantae;Tracheophyta;Magnoliopsida;Ericales;Primulaceae;Ardisia;No
Ardisia revoluta;Ardisia revoluta;Plantae;Tracheophyta;Magnoliopsida;Ericales;Primulaceae;Ardisia;No
Ardisia ;Ardisia sp.1;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Ardisia;Ardisia sp.2;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Ardisia sp 2;Ardisia sp.2;Plantae;Tracheophyta;Magnoliopsida;Ericales;Primulaceae;Ardisia;No
Ardisia;Ardisia sp.3;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Ardisia sp 3;Ardisia sp.3;Plantae;Tracheophyta;Magnoliopsida;Ericales;Primulaceae;Ardisia;No
Ardisia teysmanniana;Ardisia teysmanniana;Plantae;Tracheophyta;Magnoliopsida;Ericales;Primulaceae;Ardisia;No
Ardisiaquin quegona;Ardisiaquin quegona;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Areca disticha;Areca disticha;Plantae;Tracheophyta;Magnoliopsida;Ericales;Primulaceae;Ardisia;No
Areca disticha;Areca disticha;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Areca macrocalyx;Areca.macrocalyx;Plantae;Tracheophyta;Liliopsida;Arecales;Arecaceae;Areca;No
Arecaceae sp;Arecaceae sp1;Plantae;Tracheophyta;Liliopsida;Arecales;Arecaceae;Livistona;No
Arecaceae sp2;Arecaceae sp2;Plantae;Tracheophyta;Liliopsida;Arecales;Arecaceae;Livistona;No
Arecaceae sp3;Arecaceae sp3;Plantae;Tracheophyta;Liliopsida;Arecales;Arecaceae;Livistona;No
Arenaria congesta;Arenaria congesta;Plantae;Tracheophyta;Magnoliopsida;Caryophyllales;Caryophyllaceae;Eremogone;No
Arenaria montana;Arenaria montana;Plantae;Tracheophyta;Magnoliopsida;Caryophyllales;Caryophyllaceae;Arenaria;No
Arenga obtusifolia;Arenga obtusifolia;Plantae;Tracheophyta;Liliopsida;Arecales;Arecaceae;Arenga;No
Arenga undulatifolia;Arenga undulatifolia;Plantae;Tracheophyta;Liliopsida;Arecales;Arecaceae;Arenga;No
Argemone mexicana;Argemone mexicana;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Papaveraceae;Argemone;No
Argostemma ;Argostemma sp.1;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Argostemma sp ;Argostemma sp.1;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Papaveraceae;Argemone;No
Argostemma;Argostemma sp.2;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Argostemma sp 2;Argostemma sp.2;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Papaveraceae;Argemone;No
