id;database;id_comm;id_study;id_study_ori;citation;study;site;plot;id_comm_source;exact_lat;exact_long;age;age_ori;study_year;temp_persp_class2;stage;study_common_taxon;organism_threshold;metric;metric_source;aggregated_data;sampling_method;sampling_effort_within;sampling_effort_among;n_comm;n_comm_available;effort_ori;historic_impact;predisturbances;disturbance1_age;disturbance2;n_disturbances;current_impact;notes;priority;country;study_common_taxon_clean;study_common_taxon_strgroup;disturbance1_age_clean;disturbance2_clean;predisturbances_clean;current_impact_clean;postdisturbance;restoration;protection;use;recovering_cond;coord_accuracy;taxon_level;richness_study;richness;abund;shannon;PD;SR;error_class
PR_Berry et al. 2010_Berry Borneo trees 2.5cm_8_NA;PR;Berry et al. 2010_Berry Borneo trees 2.5cm_8_NA;PR_Berry et al. 2010_Berry Borneo trees 2.5cm;PR_Berry et al. 2010_Berry Borneo trees 2.5cm;Berry et al. 2010;Berry Borneo trees 2.5cm;8;NA;8;4.975278;117.834458;18;17;2006;exact;recovering;trees;trees >= 5 cm diameter;abundance;abundance (individuals);no;line/belt transects;1;NA;1;30;1;tree selection cuttings;NA;logging of > 60 cm commercial species;NA;1;NA;Los cuadrados rellenos de la Fig.1 son 11 y 9, lo que coincide con las lineas de la tabla;NA;Malaysia;trees;engineers;logging;NA;NA;NA;none;0;0;none;regular;community;species;577;124;287;6.24657195708663;4557.8178314;82;0.05545927209705372
PR_Berry et al. 2010_Berry Borneo trees 2.5cm_9_NA;PR;Berry et al. 2010_Berry Borneo trees 2.5cm_9_NA;PR_Berry et al. 2010_Berry Borneo trees 2.5cm;PR_Berry et al. 2010_Berry Borneo trees 2.5cm;Berry et al. 2010;Berry Borneo trees 2.5cm;9;NA;9;4.975275;117.837074;18;17;2006;exact;recovering;trees;trees >= 5 cm diameter;abundance;abundance (individuals);no;line/belt transects;1;NA;1;30;1;tree selection cuttings;NA;logging of > 60 cm commercial species;NA;1;NA;Los cuadrados rellenos de la Fig.1 son 11 y 9, lo que coincide con las lineas de la tabla;NA;Malaysia;trees;engineers;logging;NA;NA;NA;none;0;0;none;regular;community;species;577;91;274;5.439769977544915;3581.9813681;59;0.05545927209705372
PR_Berry et al. 2010_Berry Borneo trees 30cm_11_NA;PR;Berry et al. 2010_Berry Borneo trees 30cm_11_NA;PR_Berry et al. 2010_Berry Borneo trees 30cm;PR_Berry et al. 2010_Berry Borneo trees 30cm;Berry et al. 2010;Berry Borneo trees 30cm;11;NA;11;4.957733;117.802426;500;Old;2006;category;reference;trees;trees >= 30 cm diameter;abundance;abundance (individuals);no;fixed plots/quadrats;1;NA;1;20;1;natural disturbances;NA;none;strictly protected;0;NA;Los cuadrados rellenos de la Fig.1 son 11 y 9, lo que coincide con las lineas de la tabla;NA;Malaysia;trees;engineers;none;protection;NA;NA;none;0;1;none;protection;community;species;173;24;42;4.246151577840245;1174.3956555;19;0.02312138728323699
PR_Berry et al. 2010_Berry Borneo trees 30cm_12_NA;PR;Berry et al. 2010_Berry Borneo trees 30cm_12_NA;PR_Berry et al. 2010_Berry Borneo trees 30cm;PR_Berry et al. 2010_Berry Borneo trees 30cm;Berry et al. 2010;Berry Borneo trees 30cm;12;NA;12;4.956864;117.802777;500;Old;2006;category;reference;trees;trees >= 30 cm diameter;abundance;abundance (individuals);no;fixed plots/quadrats;1;NA;1;20;1;natural disturbances;NA;none;strictly protected;0;NA;Los cuadrados rellenos de la Fig.1 son 11 y 9, lo que coincide con las lineas de la tabla;NA;Malaysia;trees;engineers;none;protection;NA;NA;none;0;1;none;protection;community;species;173;21;37;3.879202529172906;983.9684085;17;0.02312138728323699
PR_Berry et al. 2010_Berry Borneo trees 30cm_15_NA;PR;Berry et al. 2010_Berry Borneo trees 30cm_15_NA;PR_Berry et al. 2010_Berry Borneo trees 30cm;PR_Berry et al. 2010_Berry Borneo trees 30cm;Berry et al. 2010;Berry Borneo trees 30cm;15;NA;15;4.958031;117.810084;500;Old;2006;category;reference;trees;trees >= 30 cm diameter;abundance;abundance (individuals);no;fixed plots/quadrats;1;NA;1;20;1;natural disturbances;NA;none;strictly protected;0;NA;Los cuadrados rellenos de la Fig.1 son 11 y 9, lo que coincide con las lineas de la tabla;NA;Malaysia;trees;engineers;none;protection;NA;NA;none;0;1;none;protection;community;species;173;19;41;3.823555590238057;941.7773375;16;0.02312138728323699
PR_Berry et al. 2010_Berry Borneo trees 30cm_17_NA;PR;Berry et al. 2010_Berry Borneo trees 30cm_17_NA;PR_Berry et al. 2010_Berry Borneo trees 30cm;PR_Berry et al. 2010_Berry Borneo trees 30cm;Berry et al. 2010;Berry Borneo trees 30cm;17;NA;17;4.973497;117.811636;17;16;2006;exact;recovering;trees;trees >= 30 cm diameter;abundance;abundance (individuals);no;fixed plots/quadrats;1;NA;1;20;1;tree selection cuttings;NA;logging of > 60 cm commercial species;NA;1;NA;Los cuadrados rellenos de la Fig.1 son 11 y 9, lo que coincide con las lineas de la tabla;NA;Malaysia;trees;engineers;logging;NA;NA;NA;none;0;0;none;regular;community;species;173;25;63;3.689772481289104;1086.4175035;19;0.02312138728323699
PR_Berry et al. 2010_Berry Borneo trees 30cm_18_NA;PR;Berry et al. 2010_Berry Borneo trees 30cm_18_NA;PR_Berry et al. 2010_Berry Borneo trees 30cm;PR_Berry et al. 2010_Berry Borneo trees 30cm;Berry et al. 2010;Berry Borneo trees 30cm;18;NA;18;4.975213;117.814254;17;16;2006;exact;recovering;trees;trees >= 30 cm diameter;abundance;abundance (individuals);no;fixed plots/quadrats;1;NA;1;20;1;tree selection cuttings;NA;logging of > 60 cm commercial species;NA;1;NA;Los cuadrados rellenos de la Fig.1 son 11 y 9, lo que coincide con las lineas de la tabla;NA;Malaysia;trees;engineers;logging;NA;NA;NA;none;0;0;none;regular;community;species;173;27;64;4.312292680182112;1213.4334445;21;0.02312138728323699
PR_Berry et al. 2010_Berry Borneo trees 30cm_19_NA;PR;Berry et al. 2010_Berry Borneo trees 30cm_19_NA;PR_Berry et al. 2010_Berry Borneo trees 30cm;PR_Berry et al. 2010_Berry Borneo trees 30cm;Berry et al. 2010;Berry Borneo trees 30cm;19;NA;19;4.975668;117.812;17;16;2006;exact;recovering;trees;trees >= 30 cm diameter;abundance;abundance (individuals);no;fixed plots/quadrats;1;NA;1;20;1;tree selection cuttings;NA;logging of > 60 cm commercial species;NA;1;NA;Los cuadrados rellenos de la Fig.1 son 11 y 9, lo que coincide con las lineas de la tabla;NA;Malaysia;trees;engineers;logging;NA;NA;NA;none;0;0;none;regular;community;species;173;22;54;3.4266879759988105;1255.108124;18;0.02312138728323699
PR_Berry et al. 2010_Berry Borneo trees 30cm_20_NA;PR;Berry et al. 2010_Berry Borneo trees 30cm_20_NA;PR_Berry et al. 2010_Berry Borneo trees 30cm;PR_Berry et al. 2010_Berry Borneo trees 30cm;Berry et al. 2010;Berry Borneo trees 30cm;20;NA;20;4.978381;117.812454;17;16;2006;exact;recovering;trees;trees >= 30 cm diameter;abundance;abundance (individuals);no;fixed plots/quadrats;1;NA;1;20;1;tree selection cuttings;NA;logging of > 60 cm commercial species;NA;1;NA;Los cuadrados rellenos de la Fig.1 son 11 y 9, lo que coincide con las lineas de la tabla;NA;Malaysia;trees;engineers;logging;NA;NA;NA;none;0;0;none;regular;community;species;173;24;46;4.079095174016264;1232.8757349999998;19;0.02312138728323699
PR_Berry et al. 2010_Berry Borneo trees 30cm_21_NA;PR;Berry et al. 2010_Berry Borneo trees 30cm_21_NA;PR_Berry et al. 2010_Berry Borneo trees 30cm;PR_Berry et al. 2010_Berry Borneo trees 30cm;Berry et al. 2010;Berry Borneo trees 30cm;21;NA;21;4.976312;117.8028;500;Old;2006;category;reference;trees;trees >= 30 cm diameter;abundance;abundance (individuals);no;fixed plots/quadrats;1;NA;1;20;1;natural disturbances;NA;none;strictly protected;0;NA;Los cuadrados rellenos de la Fig.1 son 11 y 9, lo que coincide con las lineas de la tabla;NA;Malaysia;trees;engineers;none;protection;NA;NA;none;0;1;none;protection;community;species;173;26;56;4.182467092420265;1406.7412415;21;0.02312138728323699
PR_Berry et al. 2010_Berry Borneo trees 30cm_22_NA;PR;Berry et al. 2010_Berry Borneo trees 30cm_22_NA;PR_Berry et al. 2010_Berry Borneo trees 30cm;PR_Berry et al. 2010_Berry Borneo trees 30cm;Berry et al. 2010;Berry Borneo trees 30cm;22;NA;22;4.978119;117.805058;17;16;2006;exact;recovering;trees;trees >= 30 cm diameter;abundance;abundance (individuals);no;fixed plots/quadrats;1;NA;1;20;1;tree selection cuttings;NA;logging of > 60 cm commercial species;NA;1;NA;Los cuadrados rellenos de la Fig.1 son 11 y 9, lo que coincide con las lineas de la tabla;NA;Malaysia;trees;engineers;logging;NA;NA;NA;none;0;0;none;regular;community;species;173;22;40;4.162814895472356;1340.0286235;20;0.02312138728323699
PR_Berry et al. 2010_Berry Borneo trees 30cm_23_NA;PR;Berry et al. 2010_Berry Borneo trees 30cm_23_NA;PR_Berry et al. 2010_Berry Borneo trees 30cm;PR_Berry et al. 2010_Berry Borneo trees 30cm;Berry et al. 2010;Berry Borneo trees 30cm;23;NA;23;4.985393;117.773948;500;Old;2006;category;reference;trees;trees >= 30 cm diameter;abundance;abundance (individuals);no;fixed plots/quadrats;1;NA;1;20;1;natural disturbances;NA;none;strictly protected;0;NA;Los cuadrados rellenos de la Fig.1 son 11 y 9, lo que coincide con las lineas de la tabla;NA;Malaysia;trees;engineers;none;protection;NA;NA;none;0;1;none;protection;community;species;173;20;41;3.9449630543523857;1027.2470635;15;0.02312138728323699
PR_Berry et al. 2010_Berry Borneo trees 30cm_24_NA;PR;Berry et al. 2010_Berry Borneo trees 30cm_24_NA;PR_Berry et al. 2010_Berry Borneo trees 30cm;PR_Berry et al. 2010_Berry Borneo trees 30cm;Berry et al. 2010;Berry Borneo trees 30cm;24;NA;24;4.970857;117.825343;17;16;2006;exact;recovering;trees;trees >= 30 cm diameter;abundance;abundance (individuals);no;fixed plots/quadrats;1;NA;1;20;1;tree selection cuttings;NA;logging of > 60 cm commercial species;NA;1;NA;Los cuadrados rellenos de la Fig.1 son 11 y 9, lo que coincide con las lineas de la tabla;NA;Malaysia;trees;engineers;logging;NA;NA;NA;none;0;0;none;regular;community;species;173;35;74;4.615028542394059;1637.050901;29;0.02312138728323699
PR_Berry et al. 2010_Berry Borneo trees 30cm_25_NA;PR;Berry et al. 2010_Berry Borneo trees 30cm_25_NA;PR_Berry et al. 2010_Berry Borneo trees 30cm;PR_Berry et al. 2010_Berry Borneo trees 30cm;Berry et al. 2010;Berry Borneo trees 30cm;25;NA;25;4.964596;117.766708;500;Old;2006;category;reference;trees;trees >= 30 cm diameter;abundance;abundance (individuals);no;fixed plots/quadrats;1;NA;1;20;1;natural disturbances;NA;none;strictly protected;0;NA;Los cuadrados rellenos de la Fig.1 son 11 y 9, lo que coincide con las lineas de la tabla;NA;Malaysia;trees;engineers;none;protection;NA;NA;none;0;1;none;protection;community;species;173;18;48;3.0557973895319033;1123.5149595;18;0.02312138728323699
PR_Berry et al. 2010_Berry Borneo trees 30cm_26_NA;PR;Berry et al. 2010_Berry Borneo trees 30cm_26_NA;PR_Berry et al. 2010_Berry Borneo trees 30cm;PR_Berry et al. 2010_Berry Borneo trees 30cm;Berry et al. 2010;Berry Borneo trees 30cm;26;NA;26;4.987175;117.7965;17;16;2006;exact;recovering;trees;trees >= 30 cm diameter;abundance;abundance (individuals);no;fixed plots/quadrats;1;NA;1;20;1;tree selection cuttings;NA;logging of > 60 cm commercial species;NA;1;NA;Los cuadrados rellenos de la Fig.1 son 11 y 9, lo que coincide con las lineas de la tabla;NA;Malaysia;trees;engineers;logging;NA;NA;NA;none;0;0;none;regular;community;species;173;17;28;3.851823225551766;1217.7462827;16;0.02312138728323699
PR_Berry et al. 2010_Berry Borneo trees 30cm_28_NA;PR;Berry et al. 2010_Berry Borneo trees 30cm_28_NA;PR_Berry et al. 2010_Berry Borneo trees 30cm;PR_Berry et al. 2010_Berry Borneo trees 30cm;Berry et al. 2010;Berry Borneo trees 30cm;28;NA;28;5.002557;117.79291;17;16;2006;exact;recovering;trees;trees >= 30 cm diameter;abundance;abundance (individuals);no;fixed plots/quadrats;1;NA;1;20;1;tree selection cuttings;NA;logging of > 60 cm commercial species;NA;1;NA;Los cuadrados rellenos de la Fig.1 son 11 y 9, lo que coincide con las lineas de la tabla;NA;Malaysia;trees;engineers;logging;NA;NA;NA;none;0;0;none;regular;community;species;173;11;23;2.9583445647526654;617.7338775;10;0.02312138728323699
PR_Berry et al. 2010_Berry Borneo trees 30cm_29_NA;PR;Berry et al. 2010_Berry Borneo trees 30cm_29_NA;PR_Berry et al. 2010_Berry Borneo trees 30cm;PR_Berry et al. 2010_Berry Borneo trees 30cm;Berry et al. 2010;Berry Borneo trees 30cm;29;NA;29;4.952816;117.784282;500;Old;2006;category;reference;trees;trees >= 30 cm diameter;abundance;abundance (individuals);no;fixed plots/quadrats;1;NA;1;20;1;natural disturbances;NA;none;strictly protected;0;NA;Los cuadrados rellenos de la Fig.1 son 11 y 9, lo que coincide con las lineas de la tabla;NA;Malaysia;trees;engineers;none;protection;NA;NA;none;0;1;none;protection;community;species;173;27;73;3.976128375914574;1320.2095428;23;0.02312138728323699
PR_Berry et al. 2010_Berry Borneo trees 30cm_3_NA;PR;Berry et al. 2010_Berry Borneo trees 30cm_3_NA;PR_Berry et al. 2010_Berry Borneo trees 30cm;PR_Berry et al. 2010_Berry Borneo trees 30cm;Berry et al. 2010;Berry Borneo trees 30cm;3;NA;3;4.970391;117.836166;18;17;2006;exact;recovering;trees;trees >= 30 cm diameter;abundance;abundance (individuals);no;fixed plots/quadrats;1;NA;1;20;1;tree selection cuttings;NA;logging of > 60 cm commercial species;NA;1;NA;Los cuadrados rellenos de la Fig.1 son 11 y 9, lo que coincide con las lineas de la tabla;NA;Malaysia;trees;engineers;logging;NA;NA;NA;none;0;0;none;regular;community;species;173;23;60;4.111080496244278;1136.738608;21;0.02312138728323699
PR_Berry et al. 2010_Berry Borneo trees 30cm_30_NA;PR;Berry et al. 2010_Berry Borneo trees 30cm_30_NA;PR_Berry et al. 2010_Berry Borneo trees 30cm;PR_Berry et al. 2010_Berry Borneo trees 30cm;Berry et al. 2010;Berry Borneo trees 30cm;30;NA;30;4.987637;117.788383;17;16;2006;exact;recovering;trees;trees >= 30 cm diameter;abundance;abundance (individuals);no;fixed plots/quadrats;1;NA;1;20;1;tree selection cuttings;NA;logging of > 60 cm commercial species;NA;1;NA;Los cuadrados rellenos de la Fig.1 son 11 y 9, lo que coincide con las lineas de la tabla;NA;Malaysia;trees;engineers;logging;NA;NA;NA;none;0;0;none;regular;community;species;173;19;30;3.961406329721843;1006.862464;15;0.02312138728323699
PR_Berry et al. 2010_Berry Borneo trees 30cm_5_NA;PR;Berry et al. 2010_Berry Borneo trees 30cm_5_NA;PR_Berry et al. 2010_Berry Borneo trees 30cm;PR_Berry et al. 2010_Berry Borneo trees 30cm;Berry et al. 2010;Berry Borneo trees 30cm;5;NA;5;4.964295;117.791421;500;Old;2006;category;reference;trees;trees >= 30 cm diameter;abundance;abundance (individuals);no;fixed plots/quadrats;1;NA;1;20;1;natural disturbances;NA;none;strictly protected;0;NA;Los cuadrados rellenos de la Fig.1 son 11 y 9, lo que coincide con las lineas de la tabla;NA;Malaysia;trees;engineers;none;protection;NA;NA;none;0;1;none;protection;community;species;173;25;55;4.158213736181316;1459.255496;20;0.02312138728323699
PR_Berry et al. 2010_Berry Borneo trees 30cm_6_NA;PR;Berry et al. 2010_Berry Borneo trees 30cm_6_NA;PR_Berry et al. 2010_Berry Borneo trees 30cm;PR_Berry et al. 2010_Berry Borneo trees 30cm;Berry et al. 2010;Berry Borneo trees 30cm;6;NA;6;4.962393;117.794035;500;Old;2006;category;reference;trees;trees >= 30 cm diameter;abundance;abundance (individuals);no;fixed plots/quadrats;1;NA;1;20;1;natural disturbances;NA;none;strictly protected;0;NA;Los cuadrados rellenos de la Fig.1 son 11 y 9, lo que coincide con las lineas de la tabla;NA;Malaysia;trees;engineers;none;protection;NA;NA;none;0;1;none;protection;community;species;173;12;24;3.234697002530877;902.035236;10;0.02312138728323699
PR_Berry et al. 2010_Berry Borneo trees 30cm_7_NA;PR;Berry et al. 2010_Berry Borneo trees 30cm_7_NA;PR_Berry et al. 2010_Berry Borneo trees 30cm;PR_Berry et al. 2010_Berry Borneo trees 30cm;Berry et al. 2010;Berry Borneo trees 30cm;7;NA;7;4.972925;117.835267;18;17;2006;exact;recovering;trees;trees >= 30 cm diameter;abundance;abundance (individuals);no;fixed plots/quadrats;1;NA;1;20;1;tree selection cuttings;NA;logging of > 60 cm commercial species;NA;1;NA;Los cuadrados rellenos de la Fig.1 son 11 y 9, lo que coincide con las lineas de la tabla;NA;Malaysia;trees;engineers;logging;NA;NA;NA;none;0;0;none;regular;community;species;173;25;58;4.025350326807955;1290.035864;19;0.02312138728323699
PR_Brearley 2011_BorneoSecondaryVeg_39-05_NA;PR;Brearley 2011_BorneoSecondaryVeg_39-05_NA;PR_Brearley 2011_BorneoSecondaryVeg;PR_Brearley 2011_BorneoSecondaryVeg;Brearley 2011;BorneoSecondaryVeg;39-05;NA;39-05;0.06194;114.00478;21;NA_predicts;2005;exact;recovering;trees and lianas;NA;abundance;no. individuals;no;fixed plots/quadrats;1;NA;1;14;1;research area in protected area, forests and shifting cultivation;NA;"shifting cultivation after rice, maize, cassava and vegetables; previous burnt 2 y";NA;1;Borneo protected area;It lacks primary and 1 year-old fallows and have other ages (21) that do not appear in the source. Age 6 is age 3 measured tree years latter;NA;Indonesia;woody;mix;cultivation;NA;NA;protection;none;0;1;none;protection;community;mix;146;46;195;4.567383598040002;1026.040226;17;1
PR_Brearley 2011_BorneoSecondaryVeg_40-05_NA;PR;Brearley 2011_BorneoSecondaryVeg_40-05_NA;PR_Brearley 2011_BorneoSecondaryVeg;PR_Brearley 2011_BorneoSecondaryVeg;Brearley 2011;BorneoSecondaryVeg;40-05;NA;40-05;0.06197;114.00522;21;NA_predicts;2005;exact;recovering;trees and lianas;NA;abundance;no. individuals;no;fixed plots/quadrats;1;NA;1;14;1;research area in protected area, forests and shifting cultivation;NA;"shifting cultivation after rice, maize, cassava and vegetables; previous burnt 2 y";NA;1;Borneo protected area;It lacks primary and 1 year-old fallows and have other ages (21) that do not appear in the source. Age 6 is age 3 measured tree years latter;NA;Indonesia;woody;mix;cultivation;NA;NA;protection;none;0;1;none;protection;community;mix;146;38;147;4.426915924097125;1071.138008;12;1
PR_Brearley 2011_BorneoSecondaryVeg_41-05_NA;PR;Brearley 2011_BorneoSecondaryVeg_41-05_NA;PR_Brearley 2011_BorneoSecondaryVeg;PR_Brearley 2011_BorneoSecondaryVeg;Brearley 2011;BorneoSecondaryVeg;41-05;NA;41-05;0.06128;114.00417;21;NA_predicts;2005;exact;recovering;trees and lianas;NA;abundance;no. individuals;no;fixed plots/quadrats;1;NA;1;14;1;research area in protected area, forests and shifting cultivation;NA;"shifting cultivation after rice, maize, cassava and vegetables; previous burnt 2 y";NA;1;Borneo protected area;It lacks primary and 1 year-old fallows and have other ages (21) that do not appear in the source. Age 6 is age 3 measured tree years latter;NA;Indonesia;woody;mix;cultivation;NA;NA;protection;none;0;1;none;protection;community;mix;146;34;127;4.394421724734327;1097.998757;15;1
PR_Brearley 2011_BorneoSecondaryVeg_42-05_NA;PR;Brearley 2011_BorneoSecondaryVeg_42-05_NA;PR_Brearley 2011_BorneoSecondaryVeg;PR_Brearley 2011_BorneoSecondaryVeg;Brearley 2011;BorneoSecondaryVeg;42-05;NA;42-05;0.06064;114.00389;31;31;2005;exact;recovering;trees and lianas;dbh >= 10;abundance;no. individuals;no;fixed plots/quadrats;1;NA;1;14;1;research area in protected area, forests and shifting cultivation;NA;"shifting cultivation after rice, maize, cassava and vegetables; previous burnt 2 y";NA;1;Borneo protected area;It lacks primary and 1 year-old fallows and have other ages (21) that do not appear in the source. Age 6 is age 3 measured tree years latter;NA;Indonesia;woody;mix;cultivation;NA;NA;protection;none;0;1;none;protection;community;mix;146;45;134;4.338027914351251;1294.339575;17;1
PR_Brearley 2011_BorneoSecondaryVeg_43-05_NA;PR;Brearley 2011_BorneoSecondaryVeg_43-05_NA;PR_Brearley 2011_BorneoSecondaryVeg;PR_Brearley 2011_BorneoSecondaryVeg;Brearley 2011;BorneoSecondaryVeg;43-05;NA;43-05;0.06039;114.00356;31;31;2005;exact;recovering;trees and lianas;dbh >= 10;abundance;no. individuals;no;fixed plots/quadrats;1;NA;1;14;1;research area in protected area, forests and shifting cultivation;NA;"shifting cultivation after rice, maize, cassava and vegetables; previous burnt 2 y";NA;1;Borneo protected area;It lacks primary and 1 year-old fallows and have other ages (21) that do not appear in the source. Age 6 is age 3 measured tree years latter;NA;Indonesia;woody;mix;cultivation;NA;NA;protection;none;0;1;none;protection;community;mix;146;49;124;4.950468854994444;1393.409482;20;1
PR_Brearley 2011_BorneoSecondaryVeg_44-05_NA;PR;Brearley 2011_BorneoSecondaryVeg_44-05_NA;PR_Brearley 2011_BorneoSecondaryVeg;PR_Brearley 2011_BorneoSecondaryVeg;Brearley 2011;BorneoSecondaryVeg;44-05;NA;44-05;0.06081;114.00353;31;31;2005;exact;recovering;trees and lianas;dbh >= 10;abundance;no. individuals;no;fixed plots/quadrats;1;NA;1;14;1;research area in protected area, forests and shifting cultivation;NA;"shifting cultivation after rice, maize, cassava and vegetables; previous burnt 2 y";NA;1;Borneo protected area;It lacks primary and 1 year-old fallows and have other ages (21) that do not appear in the source. Age 6 is age 3 measured tree years latter;NA;Indonesia;woody;mix;cultivation;NA;NA;protection;none;0;1;none;protection;community;mix;146;42;164;4.200698635396923;1298.989659;18;1
PR_Brearley 2011_BorneoSecondaryVeg_56-05_NA;PR;Brearley 2011_BorneoSecondaryVeg_56-05_NA;PR_Brearley 2011_BorneoSecondaryVeg;PR_Brearley 2011_BorneoSecondaryVeg;Brearley 2011;BorneoSecondaryVeg;56-05;NA;56-05;-0.0888888888888889;114.011111111111;14;14;2005;exact;recovering;trees and lianas;dbh >= 5;abundance;no. individuals;no;fixed plots/quadrats;1;NA;1;14;1;research area in protected area, forests and shifting cultivation;NA;"shifting cultivation after rice, maize, cassava and vegetables; previous burnt 2 y";NA;1;Borneo protected area;It lacks primary and 1 year-old fallows and have other ages (21) that do not appear in the source. Age 6 is age 3 measured tree years latter;NA;Indonesia;woody;mix;cultivation;NA;NA;protection;none;0;1;none;protection;community;mix;146;17;102;2.6540832289290193;457.614171;8;1
PR_Brearley 2011_BorneoSecondaryVeg_57-05_NA;PR;Brearley 2011_BorneoSecondaryVeg_57-05_NA;PR_Brearley 2011_BorneoSecondaryVeg;PR_Brearley 2011_BorneoSecondaryVeg;Brearley 2011;BorneoSecondaryVeg;57-05;NA;57-05;-0.0888888888888889;114.011111111111;14;14;2005;exact;recovering;trees and lianas;dbh >= 5;abundance;no. individuals;no;fixed plots/quadrats;1;NA;1;14;1;research area in protected area, forests and shifting cultivation;NA;"shifting cultivation after rice, maize, cassava and vegetables; previous burnt 2 y";NA;1;Borneo protected area;It lacks primary and 1 year-old fallows and have other ages (21) that do not appear in the source. Age 6 is age 3 measured tree years latter;NA;Indonesia;woody;mix;cultivation;NA;NA;protection;none;0;1;none;protection;community;mix;146;23;122;3.175219158679535;573.853991;9;1
PR_Brearley 2011_BorneoSecondaryVeg_58-05_NA;PR;Brearley 2011_BorneoSecondaryVeg_58-05_NA;PR_Brearley 2011_BorneoSecondaryVeg;PR_Brearley 2011_BorneoSecondaryVeg;Brearley 2011;BorneoSecondaryVeg;58-05;NA;58-05;0.03619;113.93925;3;3;2005;exact;recovering;trees and lianas;dbh >= 5;abundance;no. individuals;no;fixed plots/quadrats;1;NA;1;14;1;research area in protected area, forests and shifting cultivation;NA;"shifting cultivation after rice, maize, cassava and vegetables; previous burnt 2 y";NA;1;Borneo protected area;It lacks primary and 1 year-old fallows and have other ages (21) that do not appear in the source. Age 6 is age 3 measured tree years latter;NA;Indonesia;woody;mix;cultivation;NA;NA;protection;none;0;1;none;protection;community;mix;146;9;115;1.0075684839699912;290.414795;5;1
PR_Brearley 2011_BorneoSecondaryVeg_58-08_NA;PR;Brearley 2011_BorneoSecondaryVeg_58-08_NA;PR_Brearley 2011_BorneoSecondaryVeg;PR_Brearley 2011_BorneoSecondaryVeg;Brearley 2011;BorneoSecondaryVeg;58-08;NA;58-08;0.03619;113.93925;6;NA_predicts;2008;exact;recovering;trees and lianas;dbh >= 5;abundance;no. individuals;no;fixed plots/quadrats;1;NA;1;14;1;research area in protected area, forests and shifting cultivation;NA;"shifting cultivation after rice, maize, cassava and vegetables; previous burnt 2 y";NA;1;Borneo protected area;It lacks primary and 1 year-old fallows and have other ages (21) that do not appear in the source. Age 6 is age 3 measured tree years latter;NA;Indonesia;woody;mix;cultivation;NA;NA;protection;none;0;1;none;protection;community;mix;146;13;120;1.6165697394320848;297.880902;5;1
PR_Brearley 2011_BorneoSecondaryVeg_59-05_NA;PR;Brearley 2011_BorneoSecondaryVeg_59-05_NA;PR_Brearley 2011_BorneoSecondaryVeg;PR_Brearley 2011_BorneoSecondaryVeg;Brearley 2011;BorneoSecondaryVeg;59-05;NA;59-05;0.03619;113.93925;3;3;2005;exact;recovering;trees and lianas;dbh >= 5;abundance;no. individuals;no;fixed plots/quadrats;1;NA;1;14;1;research area in protected area, forests and shifting cultivation;NA;"shifting cultivation after rice, maize, cassava and vegetables; previous burnt 2 y";NA;1;Borneo protected area;It lacks primary and 1 year-old fallows and have other ages (21) that do not appear in the source. Age 6 is age 3 measured tree years latter;NA;Indonesia;woody;mix;cultivation;NA;NA;protection;none;0;1;none;protection;community;mix;146;11;114;1.349127639926293;359.840968;6;1
PR_Brearley 2011_BorneoSecondaryVeg_59-08_NA;PR;Brearley 2011_BorneoSecondaryVeg_59-08_NA;PR_Brearley 2011_BorneoSecondaryVeg;PR_Brearley 2011_BorneoSecondaryVeg;Brearley 2011;BorneoSecondaryVeg;59-08;NA;59-08;0.03619;113.93925;6;NA_predicts;2008;exact;recovering;trees and lianas;dbh >= 5;abundance;no. individuals;no;fixed plots/quadrats;1;NA;1;14;1;research area in protected area, forests and shifting cultivation;NA;"shifting cultivation after rice, maize, cassava and vegetables; previous burnt 2 y";NA;1;Borneo protected area;It lacks primary and 1 year-old fallows and have other ages (21) that do not appear in the source. Age 6 is age 3 measured tree years latter;NA;Indonesia;woody;mix;cultivation;NA;NA;protection;none;0;1;none;protection;community;mix;146;13;134;1.8002666065263986;372.581285;8;1
PR_Brearley 2011_BorneoSecondaryVeg_60-05_NA;PR;Brearley 2011_BorneoSecondaryVeg_60-05_NA;PR_Brearley 2011_BorneoSecondaryVeg;PR_Brearley 2011_BorneoSecondaryVeg;Brearley 2011;BorneoSecondaryVeg;60-05;NA;60-05;0.03606;113.93875;3;3;2005;exact;recovering;trees and lianas;dbh >= 5;abundance;no. individuals;no;fixed plots/quadrats;1;NA;1;14;1;research area in protected area, forests and shifting cultivation;NA;"shifting cultivation after rice, maize, cassava and vegetables; previous burnt 2 y";NA;1;Borneo protected area;It lacks primary and 1 year-old fallows and have other ages (21) that do not appear in the source. Age 6 is age 3 measured tree years latter;NA;Indonesia;woody;mix;cultivation;NA;NA;protection;none;0;1;none;protection;community;mix;146;8;54;1.3628614430214616;376.643813;4;1
